id,name,followers,popularity,genre
6YROFUbu5zRCHi2xkir5pk,brian hyland,67223,47,pop
5tFRohaO5yEsuJxmMnlCO9,barns courtney,602647,62,electronic
3oDbviiivRWhXwIE8hxkVV,the beach boys,5139194,76,classical
60zvRmhQHRxokEB1taAVpN,beth malone,1569,29,classical
4hxDvVq5t8ebPYPdBl1F9f,hellyeah,769490,52,rock
2jwRHcdgkRhelYEMqndDKe,yxngxr1,143628,45,hip-hop
07d5etnpjriczFBB8pxmRe,bj the chicago kid,464821,59,hip-hop
50bY8HGxT0SuDgJX3AilTT,sesame street,138888,65,folk
3hyGGjxu73JuzBa757H6R5,the mountain goats,419856,57,folk
0KUfoAHP20vQHuDhiEAa8r,cookie monster,41911,56,folk
5ns1lY8egNoPsITbbNpli6,clorofila,20782,16,electronic
41x3tK4pmcp109A09rYtxj,ram-zet,4100,7,rock
7EEiVZvj6RCEtVX2F2pyxu,slim jxmmi,117904,54,hip-hop
5i4JbHYkeCa702YXS68RGf,catherine zeta-jones,25737,51,classical
1zNqQNIdeOUZHb8zbZRFMX,swae lee,3146480,79,hip-hop
7If8DXZN7mlGdQkLE2FaMo,the gaslight anthem,362398,52,rock
6cutt8thPFUICMfxaYerWd,my first story,718506,60,pop
7iZtZyCzp3LItcw1wtPI3D,rae sremmurd,7811582,72,hip-hop
2TkSDFFCkyiMrHyL1a5BbF,laura osnes,16585,42,classical
6pdcQa7by8IKuoVXvgknlI,rilès,929303,63,hip-hop
3bW9aRkzZhlE53ca3djW8Z,jeanine tesori,1658,35,classical
498OLUGBV0hSPmRHokzvaA,alexander hanson,687,41,classical
0CKa42Jqrc9fSFbDjePaXP,big k.r.i.t.,950632,58,hip-hop
1cHFz6lrt7KAsBV8j2Ny1g,the blues brothers,448981,56,blues
47mxBSV8e4ssFImQjxzePn,suis la lune,29185,32,rock
3rpd8ePtYWGXq5te4laEwY,harriet harris,270,24,classical
7iHXhGerkdpvUAIb67GCSj,diana panton,21816,39,jazz
0oE1QxknblYdWQt51QjyrG,michael cerveris,2755,31,classical
4YAN46l70QV0PGXlMg0iHi,dillinger four,36619,35,rock
27R1aBy7FfkYevfYen4sMp,george birge,75043,54,country
0k9kVbqy5B8J1jbQm4XcMA,roberta colindrez,91,12,classical
1vrC8QDkFBw7mkWShqEcXZ,lisa kron,135,31,classical
743OB85I8BftMRfuNAO1RS,ann harada,1053,35,classical
4NgfOZCL9Ml67xzM0xzIvC,janis joplin,3604137,62,rock
7tHd518aPjJYUgyv9bidBz,judy kuhn,37426,55,classical
7arQA31aZVS8yS6zUveWzb,cj,282841,62,hip-hop
3FCu4XKU7SMobrCqEnTRSJ,little apple band,6963,33,folk
5rX1EodZfwxmW4fQX2Caot,jonny lang,265349,48,blues
4QGKWF55nqfGYToZkoZPRF,one morning left,38169,34,rock
1fZpYWNWdL5Z3wrDtISFUH,shakey graves,594751,58,folk
51Blml2LZPmy7TTiAg47vQ,u2,13715623,78,rock
3UUl93ABT7zywawX0QA7MC,breadwinner,5014,16,rock
4pFb5Ycz7oHBhVS623cMdf,emily skeggs,666,23,classical
1PoFNQQDFXvOYm6Dx8coAa,esmé patterson,28777,23,country
2NC0NvcP3iJvpCPepplwof,sydney lucas,326,26,classical
6RvruFAgvsAb4B82u8wsSH,envy on the coast,37014,31,rock
3Q6OOkfssqoMSTtl11J5Uk,love,273598,46,rock
55CXG5KDJpRYwBopfYAJHa,jorma kaukonen,34539,35,blues
4TbtUt49IMXEIMmNdifHb1,stephen sondheim,93717,51,classical
4PLsMEk2DCRVlVL2a9aZAv,soak,88596,42,folk
6UWtYhPTWb5rOmlaXqf1h6,marla mindelle,96,24,classical
2sYkCcYzUQfNjOtw0mIOJL,onsind,10756,18,folk
1TRVqozKc5Qk1cjwRdWBSl,secrets,141707,40,rock
5spEJXLwD1sKUdC2bnOHPg,bone thugs-n-harmony,3329701,67,hip-hop
3HQyFCFFfJO3KKBlUfZsyW,randy newman,277739,61,classical
3ewsLD7NsneulFB9GIxL1J,noah hinsdale,0,18,classical
7AZwAitWq1KcFoIJhRWb6V,deerhoof,123108,21,rock
68vPeaQOlnY1aA3iBKCEpG,high and mighty color,52190,39,rock
7EefBqbWGDsYzzoT2kdbjk,james clow,4,5,classical
5yLqc0R4cy4fVot8LuEkj4,haiku d'etat,15855,19,hip-hop
0KDuKk6YdEu3hR56HtXmxt,story of the year,576167,57,rock
6A2DSgH4meitmJOZrRcKNZ,black devil disco club,23067,32,electronic
68SbjD1Yoy2jxRhtrVC43E,becky ann baker,47,20,classical
47NluEnhJda2gsnjuvcoob,santino fontana,13399,56,classical
73xrrv4ZrlpLi1q0Q34wiK,dinah shore,92012,41,jazz
0aQ8Ow9YAkGxr5bbehjkcS,the lawrence arms,73742,41,rock
1iEaqWaYpKo9x0OrEq7Q7z,ayron jones,73951,40,rock
5IbEL2xjRtKsunfmsahLuO,$not,1564743,64,hip-hop
0K4i9QDItJabGYMwquh4bY,remembering never,23161,22,rock
6zhWKbSK8626OCyBd6M9p4,merwin foard,75,6,classical
7rpf45DdbpweG51Acze45i,kay starr,60025,61,pop
0HxrabRgphgRhnAVitTCcz,d'espairsray,53794,32,rock
3HAwpdanepgxGywYjJyhZl,jeffrey kuhn,229,21,classical
47pGPvVnCRj414sxJ587G6,griffin birney,1,18,classical
2wGPLEtDnWIvTmxhshJi4m,brittney mack,772,35,classical
72q9Jnu1lVJr0CgoKbICGs,world / inferno friendship society,16948,26,folk
02JFE9XezO2Am7uiVHHume,mario cantone,142,17,classical
0oSGxfWSnnOXhD2fKuz2Gy,david bowie,11893757,79,rock
30LJpAk508ffpll4jpUoPN,phumzile sojola,88,23,classical
1VbWMsap5Ex2erHPlmndr0,six,401943,61,classical
